Date,Score,review
1/12/2022,1,"Bad service, too slow"
2/12/2022,3,really slow service
3/12/2022,2,technician took too long
4/12/2022,10,excellent service!
5/12/2022,10,thanks a lto for your prompt help
6/12/2022,9,fantastic team very professional
7/12/2022,3,former provider was much better
8/12/2022,2,"slowness solving, took 5 days"
9/12/2022,1,mal servicio muy lento muy disconforme
9/12/2022,1,no me gusta este servicio el proveedor previo era mejor
9/12/2022,1,pesimo servicio muy lento
9/12/2022,1,mucha lentitud demoraron 5 dias
9/12/2022,1,el anterior proveedor era mejor
